,Output,Time
511,0,2018-04-24 20:41
512,0,2018-04-24 20:41
513,0,2018-04-24 20:41
514,0,2018-04-24 20:41
515,0,2018-04-24 20:41
516,0,2018-04-24 20:41
517,0,2018-04-24 20:41
518,0,2018-04-24 20:41
519,0,2018-04-24 20:41
520,0,2018-04-24 20:41
521,0,2018-04-24 20:41
522,0,2018-04-24 20:41
523,0,2018-04-24 20:41
524,0,2018-04-24 20:41
525,0,2018-04-24 20:41
526,0,2018-04-24 20:41
527,0,2018-04-24 20:41
528,0,2018-04-24 20:41
529,0,2018-04-24 20:41
530,0,2018-04-24 20:41
531,0,2018-04-24 20:41
532,0,2018-04-24 20:41
533,0,2018-04-24 20:41
534,0,2018-04-24 20:41
535,0,2018-04-24 20:41
536,0,2018-04-24 20:41
537,0,2018-04-24 20:41
538,0,2018-04-24 20:41
539,0,2018-04-24 20:41
540,0,2018-04-24 20:41
541,1,2018-04-24 20:41
542,1,2018-04-24 20:41
543,1,2018-04-24 20:41
544,1,2018-04-24 20:41
545,1,2018-04-24 20:41
546,1,2018-04-24 20:41
547,1,2018-04-24 20:41
548,1,2018-04-24 20:41
549,1,2018-04-24 20:41
550,1,2018-04-24 20:41
551,1,2018-04-24 20:41
552,1,2018-04-24 20:41
553,1,2018-04-24 20:41
554,1,2018-04-24 20:41
555,1,2018-04-24 20:41
556,1,2018-04-24 20:41
557,1,2018-04-24 20:41
558,1,2018-04-24 20:41
559,1,2018-04-24 20:41
560,1,2018-04-24 20:41
561,1,2018-04-24 20:41
562,1,2018-04-24 20:41
563,1,2018-04-24 20:41
564,1,2018-04-24 20:41
565,1,2018-04-24 20:41
566,1,2018-04-24 20:41
567,1,2018-04-24 20:41
568,1,2018-04-24 20:41
569,1,2018-04-24 20:41
570,1,2018-04-24 20:41
571,1,2018-04-24 20:41
572,1,2018-04-24 20:41
573,1,2018-04-24 20:41
574,1,2018-04-24 20:41
575,1,2018-04-24 20:41
576,1,2018-04-24 20:41
577,1,2018-04-24 20:41
578,1,2018-04-24 20:41
579,1,2018-04-24 20:41
580,1,2018-04-24 20:41
581,1,2018-04-24 20:41
582,1,2018-04-24 20:41
583,1,2018-04-24 20:41
584,1,2018-04-24 20:41
585,1,2018-04-24 20:41
586,1,2018-04-24 20:41
587,1,2018-04-24 20:41
588,1,2018-04-24 20:41
589,1,2018-04-24 20:41
590,1,2018-04-24 20:41
591,1,2018-04-24 20:41
592,1,2018-04-24 20:41
593,1,2018-04-24 20:41
594,1,2018-04-24 20:41
595,1,2018-04-24 20:41
596,1,2018-04-24 20:41
597,1,2018-04-24 20:41
598,1,2018-04-24 20:41
599,1,2018-04-24 20:41
600,1,2018-04-24 20:41
601,1,2018-04-24 20:41
602,1,2018-04-24 20:41
603,1,2018-04-24 20:41
604,1,2018-04-24 20:41
605,1,2018-04-24 20:41
606,1,2018-04-24 20:41
607,1,2018-04-24 20:41
608,1,2018-04-24 20:41
609,1,2018-04-24 20:41
610,1,2018-04-24 20:41
611,1,2018-04-24 20:41
612,1,2018-04-24 20:41
613,1,2018-04-24 20:41
614,1,2018-04-24 20:41
615,1,2018-04-24 20:41
616,1,2018-04-24 20:41
617,1,2018-04-24 20:41
618,1,2018-04-24 20:41
619,1,2018-04-24 20:41
620,1,2018-04-24 20:41
621,1,2018-04-24 20:41
622,1,2018-04-24 20:41
623,1,2018-04-24 20:41
624,1,2018-04-24 20:41
625,1,2018-04-24 20:41
626,1,2018-04-24 20:41
627,1,2018-04-24 20:41
628,1,2018-04-24 20:41
629,1,2018-04-24 20:41
630,1,2018-04-24 20:41
631,1,2018-04-24 20:41
632,1,2018-04-24 20:41
633,1,2018-04-24 20:41
634,1,2018-04-24 20:41
635,1,2018-04-24 20:41
636,1,2018-04-24 20:41
637,1,2018-04-24 20:41
638,1,2018-04-24 20:41
639,1,2018-04-24 20:41
640,1,2018-04-24 20:41
641,1,2018-04-24 20:41
642,1,2018-04-24 20:41
643,1,2018-04-24 20:41
644,1,2018-04-24 20:41
645,1,2018-04-24 20:41
646,1,2018-04-24 20:41
647,1,2018-04-24 20:41
648,1,2018-04-24 20:41
649,1,2018-04-24 20:41
650,1,2018-04-24 20:41
651,1,2018-04-24 20:41
652,1,2018-04-24 20:41
653,1,2018-04-24 20:41
654,1,2018-04-24 20:41
655,1,2018-04-24 20:41
656,1,2018-04-24 20:41
657,1,2018-04-24 20:41
658,1,2018-04-24 20:41
659,1,2018-04-24 20:41
660,1,2018-04-24 20:41
661,1,2018-04-24 20:41
662,1,2018-04-24 20:41
663,1,2018-04-24 20:41
664,1,2018-04-24 20:41
665,1,2018-04-24 20:41
666,1,2018-04-24 20:41
667,1,2018-04-24 20:41
668,1,2018-04-24 20:41
669,1,2018-04-24 20:41
670,1,2018-04-24 20:41
671,1,2018-04-24 20:41
672,1,2018-04-24 20:41
673,1,2018-04-24 20:41
674,1,2018-04-24 20:41
675,1,2018-04-24 20:41
676,1,2018-04-24 20:41
677,1,2018-04-24 20:41
678,1,2018-04-24 20:41
679,1,2018-04-24 20:41
680,1,2018-04-24 20:41
681,1,2018-04-24 20:41
682,1,2018-04-24 20:41
683,1,2018-04-24 20:41
684,1,2018-04-24 20:41
685,1,2018-04-24 20:41
686,1,2018-04-24 20:41
687,1,2018-04-24 20:41
688,1,2018-04-24 20:41
689,1,2018-04-24 20:41
690,1,2018-04-24 20:41
691,1,2018-04-24 20:41
692,1,2018-04-24 20:41
693,1,2018-04-24 20:41
694,1,2018-04-24 20:41
695,1,2018-04-24 20:41
696,1,2018-04-24 20:41
697,1,2018-04-24 20:41
698,1,2018-04-24 20:41
699,1,2018-04-24 20:41
700,1,2018-04-24 20:41
701,1,2018-04-24 20:41
702,1,2018-04-24 20:41
703,1,2018-04-24 20:41
704,1,2018-04-24 20:41
705,1,2018-04-24 20:41
706,1,2018-04-24 20:41
707,1,2018-04-24 20:41
708,1,2018-04-24 20:41
709,1,2018-04-24 20:41
710,1,2018-04-24 20:41
711,1,2018-04-24 20:41
712,1,2018-04-24 20:41
713,1,2018-04-24 20:41
